"Time,    Temperature"
0.0,70.5
0.51,70.1
1.01,70.1
1.52,70.5
2.03,70.1
2.54,70.5
3.05,70.1
3.55,70.5
4.06,70.9
4.57,70.5
5.08,70.5
5.59,70.5
6.09,70.5
6.6,70.5
7.11,70.9
7.62,70.1
8.13,70.1
8.63,70.1
9.14,70.1
9.65,70.1
10.16,70.1
10.67,70.1
11.17,70.9
11.68,70.9
12.19,70.1
12.7,70.9
13.21,70.5
13.71,70.5
14.22,71.31
14.73,70.9
15.24,70.5
15.75,71.73
16.25,71.31
16.76,70.9
17.27,70.9
17.78,70.9
18.29,70.9
18.79,70.5
19.3,70.9
19.81,70.9
20.32,70.5
20.83,70.5
21.33,70.1
21.84,70.9
22.35,71.31
22.86,70.9
23.37,71.31
23.87,70.5
24.38,70.5
24.89,70.9
25.4,71.31
25.91,70.9
26.41,71.31
26.92,70.9
27.43,71.31
27.94,70.9
28.45,70.5
28.96,70.5
29.46,70.9
29.97,71.31
30.48,70.9
30.99,70.9
31.5,70.9
32.0,70.5
32.51,70.9
33.02,70.5
33.53,70.9
34.04,70.9
34.55,70.9
35.06,71.31
35.57,70.9
36.08,71.31
36.58,71.31
37.09,70.5
37.6,71.31
38.11,70.5
38.62,70.5
39.13,70.9
39.64,70.9
40.15,70.9
40.65,70.9
41.16,70.5
41.67,70.9
42.18,70.5
42.69,70.9
43.2,70.5
43.7,70.9
44.21,70.5
44.72,70.9
45.23,70.9
45.74,70.9
46.25,70.9
46.76,70.9
47.27,70.9
47.78,70.5
48.29,70.9
48.8,70.9
49.31,71.31
49.81,70.9
50.32,70.9
50.83,70.9
51.34,70.9
51.85,71.31
52.36,71.31
52.86,71.31
53.37,70.9
53.88,71.31
54.39,71.31
54.9,71.73
55.41,71.73
55.91,71.31
56.42,71.31
56.93,71.73
57.44,71.73
57.95,71.31
58.46,71.31
58.96,71.31
59.47,70.9
59.98,70.9
60.49,70.9
61.0,70.9
61.51,70.9
62.02,70.9
62.53,71.73
63.03,71.31
63.54,70.9
64.05,71.31
64.56,71.31
65.07,71.73
65.58,72.15
66.08,71.73
66.59,71.73
67.1,72.15
67.61,73.0
68.12,73.43
68.63,73.87
69.14,74.31
69.65,74.31
70.16,74.31
70.67,74.76
71.17,73.87
71.68,74.31
72.19,74.76
72.7,74.76
73.21,74.31
73.72,74.76
74.23,74.76
74.73,74.76
75.24,74.76
75.75,74.31
76.26,74.31
76.77,74.76
77.27,74.76
77.78,75.67
78.29,75.21
78.8,73.87
79.3,74.31
79.81,74.31
80.32,74.31
80.83,74.31
81.34,74.76
81.84,74.76
82.35,74.31
82.86,74.31
83.37,74.31
83.88,74.31
84.38,74.31
84.89,74.31
85.4,74.31
85.91,74.31
86.42,74.31
86.92,74.76
87.43,74.76
87.94,74.31
88.45,74.31
88.96,74.76
89.46,74.76
89.97,73.87
90.48,75.21
